Method,Total_Time_Min,Time_Per_Round_Sec,Time_Per_1%_Acc,Efficiency_Acc/Min,Final_Accuracy
FedAvg,260.82930388053256,2235.6797475474223,2.7684264118589224,0.003612160307806511,0.9421572585900625
FedProx,595.9526594837506,5108.165652717863,6.828401442021106,0.001464471602161713,0.872755746046702
FedBN,260.34962348540625,2231.5682013034825,3.0883103919103667,0.0032380164980159915,0.8430163760979971
FedMAM,262.5456339677175,2250.3911482947215,2.7624956211939486,0.003619915240147243,0.9503929416338602
