Comparison,Cohens_d,Magnitude
FedMAM vs FedAvg,0.43933470189897567,0.43933470189897567
FedMAM vs FedProx,2.404276071917345,2.404276071917345
FedMAM vs FedBN,3.4522222560971993,3.4522222560971993
