experiment,accuracy,roc_auc,duration_s
Exp_001,0.9178082191780822,0.9712135948560003,784.0572981834412
Exp_002,0.9126712328767124,0.9695621926838494,1736.996120929718
Exp_003,0.8732876712328768,0.9354568541632897,907.5022609233856
Exp_004,0.9058219178082192,0.9571513481385421,1285.0901727676392
Exp_005,0.9049657534246576,0.9533318474090884,420.5483601093292
Exp_006,0.8886986301369864,0.942575782136489,909.1537401676178
Exp_008,0.8835616438356164,0.942977657102718,637.2622148990631
Exp_009,0.8698630136986302,0.9529130869400768,833.7147529125214
Exp_010,0.928082191780822,0.9788863673204733,1235.3589010238647
Exp_011,0.8527397260273972,0.8693771275733506,397.7406439781189
Exp_012,0.8809931506849316,0.9441056086886044,329.6306519508362
Exp_013,0.877568493150685,0.9374324579888693,651.9164161682129
Exp_014,0.8938356164383562,0.9430722159183011,862.5891289710999
Exp_015,0.9220890410958904,0.9684848976063112,926.9636511802673
Exp_016,0.9143835616438356,0.9655637056248987,535.7210319042206
Exp_017,0.877568493150685,0.9492421786351111,434.38348412513733
Exp_018,0.865582191780822,0.9342309666612633,470.88887095451355
Exp_019,0.875,0.9496508078024533,377.32813000679016
Exp_020,0.8912671232876712,0.9359499108445453,397.7509949207306
Exp_021,0.860445205479452,0.922944696601286,238.2863221168518
Exp_022,0.916095890410959,0.9717741935483871,934.2270028591156
Exp_023,0.9032534246575342,0.9540477927270762,1961.3112998008728
Exp_024,0.9032534246575342,0.9540579240287459,1012.1747698783875
Exp_025,0.8527397260273972,0.9051169827632787,314.9779350757599
Exp_026,0.922945205479452,0.9707475549791971,2299.281150817871
Exp_027,0.8938356164383562,0.9559389690387421,547.5009171962738
Exp_028,0.898972602739726,0.9459798994974873,748.2973411083221
Exp_029,0.922945205479452,0.9744353487869455,880.1628630161285
Exp_030,0.8493150684931506,0.9049447506348949,237.26896595954895
