Method,Final Train Acc,Final Val Acc,Best Val Acc,Training Time (min)
FedAvg,0.9410916864871979,0.9421572585900625,0.9453616042931875,260.82930388053256
FedProx,0.9658668551457851,0.872755746046702,0.8984917998313904,595.9526594837506
FedBN,0.943519651889801,0.8430163760979971,0.8880094488461813,260.34962348540625
