Method,Bootstrap_Mean,CI_95_Lower,CI_95_Upper,CI_Width
FedAvg,0.9204331086097729,0.8987038547084445,0.9377300895395733,0.03902623483112877
FedProx,0.8739572687229941,0.8590928415457408,0.8868711902981712,0.02777834875243035
FedBN,0.8261037326017305,0.8047303131648471,0.850609670082728,0.04587935691788092
FedMAM,0.9334141989040942,0.912210484345754,0.9481207983834403,0.0359103140376863
