Comparison,Cohens_d,Interpretation,Magnitude
FedMAM vs FedAvg,0.43933470189897567,Small,0.43933470189897567
FedMAM vs FedProx,2.404276071917345,Large,2.404276071917345
FedMAM vs FedBN,3.4522222560971993,Large,3.4522222560971993
