Comparison,Effect_Size,p_value,Statistical_Power
FedMAM vs FedAvg,0.43933470189897567,0.11169613558944695,0.1648320638864622
FedMAM vs FedProx,2.404276071917345,0.00017884502164263835,0.9993500352485101
FedMAM vs FedBN,3.4522222560971993,0.0028470839456367428,0.9999999552225923
