Method,Mean,Std_Dev,CV_%
FedAvg,0.9203839940684182,0.027633632296086695,3.002402527007929
FedProx,0.8739974810963586,0.018900567913617206,2.162542607091726
FedBN,0.826018771954945,0.031153195636757884,3.7714876095403227
FedMAM,0.933132324899946,0.02607341003558301,2.7941814188441816
