Method,Total_Time_Min,Efficiency_Acc/Min,Final_Accuracy
FedAvg,260.82930388053256,0.003612160307806511,0.9421572585900625
FedProx,595.9526594837506,0.001464471602161713,0.872755746046702
FedBN,260.34962348540625,0.0032380164980159915,0.8430163760979971
FedMAM,262.5456339677175,0.003619915240147243,0.9503929416338602
