Method,AUC,Normalized_AUC
FedAvg,5.541087547938029,0.7915839354197185
FedProx,5.2635502715905504,0.7519357530843643
FedBN,4.916618491212527,0.7023740701732182
FedMAM,5.620078086853027,0.802868298121861
