Method,Rounds_to_95%,Avg_Improvement,Oscillations,Smoothness
FedAvg,2,0.031255170702934265,2,0.036316273166063236
FedProx,1,0.03359740972518921,5,0.031904603284037186
FedBN,1,0.011546263098716735,1,0.0430641422685307
FedMAM,2,0.027671123544375092,4,0.031505386788745406
