Method,Split_Half_Correlation,Reliability_Coefficient,p_value
FedAvg,0.9414782747755187,0.9698571310403935,0.21887429003274622
FedProx,-0.9926483688286679,-270.0484683452378,0.07724198034905838
FedBN,-0.41987681169054225,-1.447543625739592,0.7241465517500592
FedMAM,-0.2892220010222759,-0.8138181019622139,0.8132068433685524
