Method1,Method2,Mean_Diff,Std_Diff,Cohen_d,t_stat,p_value,Significant
FedAvg,FedProx,0.04638651297205972,0.019677760657730026,2.357306493299464,5.774198075933219,0.0011784464800077745,Yes
FedAvg,FedBN,0.09436522211347308,0.05460684653337849,1.7280840792700278,4.232924226838846,0.00548240757281621,Yes
FedAvg,FedMAM,-0.012748330831527679,0.016758028484768067,-0.7607297507051658,-1.8633997213823075,0.11169613558944695,No
FedProx,FedBN,0.04797870914141335,0.04722853649661536,1.0158838850501275,2.4883971562890124,0.04726468955929471,Yes
FedProx,FedMAM,-0.059134843803587404,0.017690993270485084,-3.342652552033102,-8.187793139893097,0.00017884502164263835,Yes
FedBN,FedMAM,-0.10711355294500076,0.05408004021934887,-1.9806485444638677,-4.851578293722675,0.0028470839456367428,Yes
