Method,Variance,Std_Dev,CV_Percent
FedAvg,0.0007636176338753257,0.027633632296086695,3.002402527007929
FedProx,0.0003572314674572563,0.018900567913617206,2.162542607091726
FedBN,0.0009705215983821105,0.031153195636757884,3.7714876095403227
FedMAM,0.0006798227108836409,0.02607341003558301,2.7941814188441816
