Method,Final_Val_Acc,Best_Val_Acc,Best_Round,Mean_Val_Acc,Std_Val_Acc,Variance
FedAvg,0.9421572585900625,0.9453616042931875,2,0.9203839940684182,0.027633632296086695,0.0007636176338753257
FedProx,0.872755746046702,0.8984917998313904,2,0.8739974810963586,0.018900567913617206,0.0003572314674572563
FedBN,0.8430163760979971,0.8880094488461813,1,0.826018771954945,0.031153195636757884,0.0009705215983821105
FedMAM,0.9503929416338602,0.9522287646929423,5,0.933132324899946,0.02607341003558301,0.0006798227108836409
