Method,Mean,Std_Error,CI_95_Lower,CI_95_Upper,CI_Width
FedAvg,0.9203839940684182,0.011281383144184386,0.8927794439556064,0.94798854418123,0.05520910022562374
FedProx,0.8739974810963586,0.007716124539530366,0.8551168045156712,0.8928781576770459,0.037761353161374744
FedBN,0.826018771954945,0.012718238861192681,0.7948983625598002,0.8571391813500898,0.06224081879028974
FedMAM,0.933132324899946,0.010644425073590093,0.9070863550387538,0.9591782947611383,0.05209193972238452
